,Gross Area,Interior Area,Bedrooms,Baths,Floor,Type,Status,Price,City
4979,76 m2,58 m2,,1,2,Multipurpose space ,Used ,,Tirana
4980,96.78 m2,96.78 m2,,2,5,Parking ,New ,,Tirana
4981,86 m2,68 m2,,2,5,Apartment ,Under Construction ,,Tirana
4982,197 m2,157 m2,,2,5,Apartment ,Under Construction ,,Tirana
4983,178 m2,141 m2,,2,5,Apartment ,Under Construction ,,Tirana
4984,182 m2,145 m2,,1,1,Apartment ,Under Construction ,,Tirana
4985,168 m2,72 m2,,1,2,Apartment ,Under Construction ,,Himarë
4986,39 m2,30 m2,,1,1,Multipurpose space ,Used ,,Tirana
4987,1104 m2,1104 m2,,1,1,Land ,Used ,,Tirana
4988,91 m2,38 m2,,1,2,Apartment ,Under Construction ,,Himarë
4989,180 m2,84 m2,,1,2,Apartment ,Under Construction ,,Himarë
4990,85 m2,66 m2,,2,5,Multipurpose space ,Used ,,Tirana
4991,76 m2,58 m2,,2,5,Multipurpose space ,Used ,,Tirana
4992,96.78 m2,96.78 m2,,2,5,Parking ,New ,,Tirana
4993,86 m2,68 m2,,2,5,Apartment ,Under Construction ,,Tirana
4994,197 m2,157 m2,,1,1,Apartment ,Under Construction ,,Tirana
4995,178 m2,141 m2,,1,2,Apartment ,Under Construction ,,Tirana
4996,182 m2,145 m2,,1,1,Apartment ,Under Construction ,,Tirana
4997,168 m2,72 m2,,1,1,Apartment ,Under Construction ,,Himarë
4998,39 m2,30 m2,,1,2,Multipurpose space ,Used ,,Tirana
4999,1104 m2,1104 m2,,1,2,Land ,Used ,,Tirana
5000,91 m2,38 m2,,2,5,Apartment ,Under Construction ,,Himarë
5001,180 m2,84 m2,,2,5,Apartment ,Under Construction ,,Himarë
5002,85 m2,66 m2,,2,5,Multipurpose space ,Used ,,Tirana
5003,76 m2,58 m2,,2,5,Multipurpose space ,Used ,,Tirana
5004,96.78 m2,96.78 m2,,1,1,Parking ,New ,,Tirana
5005,86 m2,68 m2,,1,2,Apartment ,Under Construction ,,Tirana
5006,197 m2,157 m2,,1,1,Apartment ,Under Construction ,,Tirana
5007,178 m2,141 m2,,1,1,Apartment ,Under Construction ,,Tirana
5008,182 m2,145 m2,,1,2,Apartment ,Under Construction ,,Tirana
5009,168 m2,72 m2,,1,2,Apartment ,Under Construction ,,Himarë
5010,39 m2,30 m2,,2,5,Multipurpose space ,Used ,,Tirana
5011,1104 m2,1104 m2,,2,5,Land ,Used ,,Tirana
5012,91 m2,38 m2,,2,5,Apartment ,Under Construction ,,Himarë
5013,180 m2,84 m2,,2,5,Apartment ,Under Construction ,,Himarë
5014,85 m2,66 m2,,1,1,Multipurpose space ,Used ,,Tirana
5015,76 m2,58 m2,,1,2,Multipurpose space ,Used ,,Tirana
5016,96.78 m2,96.78 m2,,1,1,Parking ,New ,,Tirana
5017,86 m2,68 m2,,1,1,Apartment ,Under Construction ,,Tirana
5018,197 m2,157 m2,,1,2,Apartment ,Under Construction ,,Tirana
5019,178 m2,141 m2,,1,2,Apartment ,Under Construction ,,Tirana
5020,182 m2,145 m2,,2,5,Apartment ,Under Construction ,,Tirana
