,Gross Area,Interior Area,Bedrooms,Baths,Floor,Type,Status,Price,City
4688,91 m2,38 m2,,1,2,Apartment ,Under Construction ,,Himarë
4689,180 m2,84 m2,,1,2,Apartment ,Under Construction ,,Himarë
4690,85 m2,66 m2,,2,5,Multipurpose space ,Used ,,Tirana
4691,76 m2,58 m2,,2,5,Multipurpose space ,Used ,,Tirana
4692,96.78 m2,96.78 m2,,2,5,Parking ,New ,,Tirana
4693,86 m2,68 m2,,2,5,Apartment ,Under Construction ,,Tirana
4694,197 m2,157 m2,,1,1,Apartment ,Under Construction ,,Tirana
4695,178 m2,141 m2,,1,2,Apartment ,Under Construction ,,Tirana
4696,182 m2,145 m2,,1,1,Apartment ,Under Construction ,,Tirana
4697,168 m2,72 m2,,1,1,Apartment ,Under Construction ,,Himarë
4698,39 m2,30 m2,,1,2,Multipurpose space ,Used ,,Tirana
4699,1104 m2,1104 m2,,1,2,Land ,Used ,,Tirana
4700,91 m2,38 m2,,2,5,Apartment ,Under Construction ,,Himarë
4701,180 m2,84 m2,,2,5,Apartment ,Under Construction ,,Himarë
4702,85 m2,66 m2,,2,5,Multipurpose space ,Used ,,Tirana
4703,76 m2,58 m2,,2,5,Multipurpose space ,Used ,,Tirana
4704,96.78 m2,96.78 m2,,1,1,Parking ,New ,,Tirana
4705,86 m2,68 m2,,1,2,Apartment ,Under Construction ,,Tirana
4706,197 m2,157 m2,,1,1,Apartment ,Under Construction ,,Tirana
4707,178 m2,141 m2,,1,1,Apartment ,Under Construction ,,Tirana
4708,182 m2,145 m2,,1,2,Apartment ,Under Construction ,,Tirana
4709,168 m2,72 m2,,1,2,Apartment ,Under Construction ,,Himarë
4710,39 m2,30 m2,,2,5,Multipurpose space ,Used ,,Tirana
4711,1104 m2,1104 m2,,2,5,Land ,Used ,,Tirana
4712,91 m2,38 m2,,2,5,Apartment ,Under Construction ,,Himarë
4713,180 m2,84 m2,,2,5,Apartment ,Under Construction ,,Himarë
4714,85 m2,66 m2,,1,1,Multipurpose space ,Used ,,Tirana
4715,76 m2,58 m2,,1,2,Multipurpose space ,Used ,,Tirana
4716,96.78 m2,96.78 m2,,1,1,Parking ,New ,,Tirana
4717,86 m2,68 m2,,1,1,Apartment ,Under Construction ,,Tirana
4718,197 m2,157 m2,,1,2,Apartment ,Under Construction ,,Tirana
4719,178 m2,141 m2,,1,2,Apartment ,Under Construction ,,Tirana
4720,182 m2,145 m2,,2,5,Apartment ,Under Construction ,,Tirana
4721,168 m2,72 m2,,2,5,Apartment ,Under Construction ,,Himarë
4722,39 m2,30 m2,,2,5,Multipurpose space ,Used ,,Tirana
4723,1104 m2,1104 m2,,2,5,Land ,Used ,,Tirana
4724,91 m2,38 m2,,1,1,Apartment ,Under Construction ,,Himarë
4725,180 m2,84 m2,,1,2,Apartment ,Under Construction ,,Himarë
4726,85 m2,66 m2,,1,1,Multipurpose space ,Used ,,Tirana
4727,76 m2,58 m2,,1,1,Multipurpose space ,Used ,,Tirana
4728,96.78 m2,96.78 m2,,1,2,Parking ,New ,,Tirana
4729,86 m2,68 m2,,1,2,Apartment ,Under Construction ,,Tirana
4730,197 m2,157 m2,,2,5,Apartment ,Under Construction ,,Tirana
4731,178 m2,141 m2,,2,5,Apartment ,Under Construction ,,Tirana
4732,182 m2,145 m2,,2,5,Apartment ,Under Construction ,,Tirana
4733,168 m2,72 m2,,2,5,Apartment ,Under Construction ,,Himarë
4734,39 m2,30 m2,,1,1,Multipurpose space ,Used ,,Tirana
4735,1104 m2,1104 m2,,1,2,Land ,Used ,,Tirana
4736,91 m2,38 m2,,1,1,Apartment ,Under Construction ,,Himarë
4737,180 m2,84 m2,,1,1,Apartment ,Under Construction ,,Himarë
4738,85 m2,66 m2,,1,2,Multipurpose space ,Used ,,Tirana
